"ev_takim","dep_takim","ev_sonuc","dep_sonuc","ev_topla_oynama","ev_ikili_mucadele_kazanma","ev_hava_topu","ev_pas_arasi","ev_ofsayt","ev_korner","dep_topla_oynama","dep_ikili_mucadele_kazanma","dep_hava_topu","dep_pas_arasi","dep_ofsayt","dep_korner","ev_pas","ev_uzun_pas","ev_pas_isabet","ev_rakip_yari_sahada_pas_isabeti","ev_orta","ev_orta_istabeti","dep_pas","dep_uzun_pas","dep_pas_isabet","dep_rakip_yari_sahada_pas_isabeti","dep_orta","dep_orta_istabeti","ev_gol","ev_sut","ev_isabetli_sut","ev_sut_engelleme","ev_ceza_sahasinin_disindan_sut","ev_ceza_sahasinin_icinden_sut","ev_sut_isabeti","dep_gol","dep_sut","dep_isabetli_sut","dep_sut_engelleme","dep_ceza_sahasi_disindan_sut","dep_ceza_sahasi_icinden_sut","dep_sut_isabeti","ev_top_kapma","ev_top_kapma_basarisi","ev_uzaklastirma","dep_top_kapma","dep_top_kapma_basarisi","dep_uzaklastirma","ev_faul","ev_sari_kart","ev_kirmizi_kart","dep_faul","dep_sari_kart","dep_kirmizi_kart"
"Osmanlıspor FK","İstanbul Başakşehir","0","1","%53,6","%48,4","%55,6","18","1","7","%46,4","%51,6","%44,4","21","0","6","407","62","%74,4","%59,5","28","%35,7","363","61","%72,2","%61,6","15","%6,7","0","13","3","5","8","5","%23,1","1","9","3","4","2","7","%33,3","18","%83,3","22","28","%82,1","38","17","2","0","13","0","1","2"
"Fenerbahçe","Bursaspor","0","1","%71,1","%48,8","%53,2","13","4","6","%28,9","%51,2","%46,8","28","2","4","561","63","%80,7","%66,9","38","%21,1","230","65","%57,0","%48,1","13","%23,1","0","13","3","3","5","8","%23,1","1","7","4","1","5","2","%57,1","16","%75,0","13","17","%76,5","39","14","0","0","15","2","0","2"
"Trabzonspor","Osmanlıspor FK","0","2","%57,5","%59,1","%65,5","21","1","6","%42,5","%40,9","%34,5","23","2","7","402","65","%77,6","%63,9","30","%20,0","300","67","%69,0","%54,4","18","%33,3","0","12","3","1","8","4","%25,0","2","17","8","2","8","9","%47,1","16","%56,3","18","17","%70,6","26","16","3","0","26","1","0","2"
"Adanaspor","Trabzonspor","1","1","%40,6","%45,9","%33,3","23","1","2","%59,4","%54,1","%66,7","15","4","5","420","93","%72,6","%59,0","8","%50,0","593","56","%83,5","%75,5","27","%18,5","1","5","3","0","1","4","%60,0","1","10","2","3","3","7","%20,0","19","%57,9","24","14","%85,7","13","9","1","1","10","2","0","0"
"Çaykur Rizespor","Gaziantepspor","2","0","%46,8","%54,9","%57,7","18","3","3","%53,2","%45,1","%42,3","18","0","6","415","61","%76,9","%66,9","11","%18,2","474","50","%81,9","%71,9","18","%16,7","2","8","4","1","5","3","%50,0","0","14","6","1","8","6","%42,9","28","%82,1","28","15","%80,0","23","15","2","0","15","1","0","1"
"Karabükspor","Adanaspor","2","0","%56,3","%49,2","%60,5","13","3","2","%43,7","%50,8","%39,5","22","6","4","482","79","%73,9","%59,3","13","%7,7","375","85","%68,0","%55,8","12","%16,7","2","6","2","1","3","3","%33,3","0","8","2","2","4","4","%25,0","12","%58,3","17","23","%82,6","9","16","2","0","16","4","0","1"
"Karabükspor","İstanbul Başakşehir","0","2","%52,9","%62,8","%52,9","19","2","4","%47,1","%37,2","%47,1","23","2","4","440","64","%74,1","%64,0","35","%28,6","408","70","%72,3","%57,3","16","%31,3","0","11","1","5","3","8","%9,1","2","10","5","1","1","9","%50,0","30","%86,7","16","12","%83,3","24","17","2","0","23","3","0","2"
"Gençlerbirliği","Adanaspor","0","1","%61,6","%43,0","%53,8","16","1","16","%38,4","%57,0","%46,2","14","2","4","469","61","%77,4","%66,1","40","%35,0","313","90","%62,9","%51,0","11","%9,1","0","24","10","5","7","17","%41,7","1","4","1","1","1","3","%25,0","14","%85,7","10","38","%63,2","55","18","2","0","17","1","0","2"
"Beşiktaş","Gaziantepspor","1","0","%70,4","%40,2","%60,0","12","1","5","%29,6","%59,8","%40,0","11","2","0","709","39","%89,7","%81,4","26","%11,5","302","66","%76,2","%61,7","6","%33,3","1","12","7","1","3","9","%58,3","0","12","2","3","7","5","%16,7","18","%72,2","10","21","%76,2","31","25","0","0","11","2","0","1"
"Beşiktaş","Antalyaspor","3","0","%63,6","%61,1","%77,8","23","2","5","%36,4","%38,9","%22,2","14","1","3","551","48","%87,7","%77,9","29","%31,0","318","62","%71,4","%59,1","14","%42,9","3","24","8","6","10","14","%33,3","0","9","1","1","2","7","%11,1","21","%71,4","13","17","%82,4","20","13","2","0","19","4","1","1"
"Trabzonspor","Antalyaspor","0","1","%69,5","%55,2","%55,3","15","0","3","%30,5","%44,8","%44,7","21","4","5","410","58","%81,7","%71,3","38","%31,6","184","64","%56,0","%47,5","10","%40,0","0","28","6","8","16","12","%21,4","1","9","3","3","0","9","%33,3","12","%83,3","21","20","%70,0","53","24","8","0","30","4","0","2"
"Antalyaspor","Konyaspor","1","3","%58,7","%47,0","%37,5","20","3","8","%41,3","%53,0","%62,5","15","3","2","447","70","%82,8","%67,7","38","%13,2","334","77","%71,9","%58,0","7","%28,6","1","10","3","3","6","4","%30,0","3","7","4","2","3","4","%57,1","14","%71,4","4","15","%60,0","20","14","4","0","15","3","0","2"
"Beşiktaş","Çaykur Rizespor","1","0","%70,2","%54,1","%58,8","12","0","7","%29,8","%45,9","%41,2","8","1","4","678","45","%89,8","%81,7","21","%14,3","279","60","%67,7","%50,4","12","%16,7","1","19","4","4","12","7","%21,1","0","5","0","3","1","4","%0,0","12","%91,7","16","17","%94,1","18","11","3","0","14","3","0","1"
"Bursaspor","Fenerbahçe","1","1","%41,3","%43,1","%60,0","17","1","3","%58,7","%56,9","%40,0","16","1","5","354","62","%69,5","%57,1","13","%15,4","501","56","%80,6","%69,2","25","%28,0","1","3","1","1","2","1","%33,3","1","12","4","5","6","6","%33,3","11","%63,6","30","21","%61,9","24","17","4","1","13","2","0","0"
"Osmanlıspor FK","Gaziantepspor","0","2","%64,8","%43,2","%46,9","9","1","8","%35,2","%56,8","%53,1","21","3","4","429","52","%79,3","%68,2","36","%22,2","243","74","%60,1","%51,5","11","%27,3","0","17","5","7","7","10","%29,4","2","12","4","3","4","8","%33,3","14","%50,0","18","23","%78,3","23","18","1","0","13","0","0","2"
"Bursaspor","Gaziantepspor","2","1","%52,6","%45,5","%50,0","20","0","4","%47,4","%54,5","%50,0","14","3","4","408","60","%78,4","%66,3","19","%26,3","367","68","%72,2","%62,3","15","%20,0","2","16","9","4","4","12","%56,3","1","12","6","0","4","8","%50,0","11","%63,6","16","13","%69,2","22","20","3","0","18","2","0","1"
"Beşiktaş","Gençlerbirliği","3","0","%66,5","%59,7","%57,6","17","2","6","%33,5","%40,3","%42,4","17","2","3","516","63","%79,8","%70,4","25","%28,0","258","56","%64,3","%54,0","13","%15,4","3","21","8","3","8","13","%38,1","0","4","3","0","2","2","%75,0","24","%75,0","9","16","%75,0","27","18","2","0","22","3","0","1"
"Çaykur Rizespor","Karabükspor","1","0","%34,5","%52,0","%45,5","18","3","4","%65,5","%48,0","%54,5","9","4","5","307","91","%65,1","%51,9","19","%21,1","598","81","%78,6","%69,2","17","%5,9","1","12","7","1","4","8","%58,3","0","13","3","5","9","4","%23,1","28","%50,0","23","16","%81,3","13","18","0","1","10","2","0","1"
"Kayserispor","Fenerbahçe","4","1","%45,7","%43,8","%45,2","13","1","4","%54,3","%56,2","%54,8","21","0","3","380","63","%72,1","%61,9","20","%30,0","446","51","%78,9","%66,5","29","%31,0","4","16","8","2","5","11","%50,0","1","14","4","4","6","8","%28,6","8","%75,0","23","18","%61,1","20","14","3","0","16","3","0","1"
"Bursaspor","Trabzonspor","1","2","%63,5","%42,6","%55,6","16","2","3","%36,5","%57,4","%44,4","14","2","5","504","41","%81,9","%75,8","19","%21,1","294","61","%73,8","%64,4","9","%11,1","1","13","4","1","2","11","%30,8","2","11","6","2","7","4","%54,5","20","%65,0","14","21","%66,7","29","20","2","0","16","2","1","2"
"Kasımpaşa","Galatasaray","1","2","%35,1","%46,0","%47,8","14","5","4","%64,9","%54,0","%52,2","14","2","1","317","55","%74,8","%62,7","21","%9,5","618","49","%85,9","%75,8","8","%12,5","1","13","7","3","7","6","%53,8","2","9","5","1","5","4","%55,6","16","%87,5","9","9","%77,8","27","19","2","1","7","2","0","2"
"Osmanlıspor FK","Karabükspor","2","1","%43,0","%56,1","%43,5","21","4","4","%57,0","%43,9","%56,5","18","1","7","305","63","%72,5","%59,5","10","%40,0","382","59","%75,1","%62,6","33","%30,3","2","16","3","6","9","7","%18,8","1","14","5","2","4","10","%35,7","15","%80,0","41","17","%76,5","14","14","3","0","18","3","0","1"
"Adanaspor","Karabükspor","1","2","%52,8","%53,9","%42,4","25","2","3","%47,2","%46,1","%57,6","14","0","6","418","79","%74,6","%63,6","11","%18,2","365","58","%76,4","%62,9","20","%30,0","1","9","2","2","4","5","%22,2","2","16","6","4","7","9","%37,5","13","%76,9","14","10","%90,0","20","16","4","1","25","3","0","2"
"İstanbul Başakşehir","Galatasaray","4","0","%44,0","%52,0","%57,9","24","4","2","%56,0","%48,0","%42,1","9","0","1","432","56","%81,7","%72,6","17","%35,3","553","59","%83,7","%74,1","9","%11,1","4","17","8","2","3","14","%47,1","0","4","0","0","2","2","%0,0","21","%71,4","9","14","%57,1","20","16","1","0","14","2","0","1"
"Trabzonspor","Akhisarspor","0","0","%60,4","%54,1","%52,3","16","1","8","%39,6","%45,9","%47,7","27","0","1","473","74","%76,5","%63,3","31","%25,8","323","70","%64,1","%55,2","12","%16,7","0","28","11","5","12","16","%39,3","0","7","4","0","2","5","%57,1","18","%94,4","16","17","%70,6","30","18","2","1","22","3","0","0"
"Alanyaspor","Karabükspor","4","2","%45,6","%51,6","%53,3","13","4","2","%54,4","%48,4","%46,7","14","2","3","357","64","%77,9","%65,3","11","%18,2","423","65","%77,3","%64,3","13","%15,4","4","8","5","0","2","6","%62,5","2","11","3","2","8","3","%27,3","19","%78,9","12","19","%73,7","6","14","3","0","11","3","0","1"
"Alanyaspor","Trabzonspor","3","0","%40,8","%52,2","%50,0","24","1","1","%59,2","%47,8","%50,0","13","2","9","320","68","%72,5","%53,6","13","%23,1","457","42","%82,1","%69,7","21","%42,9","3","10","5","1","5","5","%50,0","0","16","7","3","6","10","%43,8","26","%84,6","18","20","%75,0","7","18","2","0","29","5","0","1"
"Galatasaray","Çaykur Rizespor","2","0","%66,2","%55,8","%57,1","14","2","7","%33,8","%44,2","%42,9","24","2","3","661","56","%88,4","%77,5","16","%43,8","330","60","%77,6","%56,8","14","%21,4","2","14","6","5","5","9","%42,9","0","9","1","2","5","4","%11,1","22","%95,5","5","19","%84,2","12","17","1","0","17","3","0","1"
"Konyaspor","Kayserispor","1","0","%38,2","%49,5","%41,7","10","0","5","%61,8","%50,5","%58,3","15","3","6","330","74","%65,8","%58,8","12","%25,0","518","62","%82,6","%71,9","32","%12,5","1","7","4","2","1","6","%57,1","0","17","3","5","9","8","%17,6","23","%56,5","34","9","%77,8","8","15","1","0","12","3","0","1"
"Osmanlıspor FK","Fenerbahçe","1","1","%49,9","%50,0","%43,3","14","0","8","%50,1","%50,0","%56,7","15","1","10","335","58","%74,0","%65,9","18","%44,4","333","61","%70,9","%56,0","24","%25,0","1","10","2","3","4","6","%20,0","1","11","2","3","3","8","%18,2","21","%66,7","24","24","%70,8","14","15","3","0","21","1","0","0"
"İstanbul Başakşehir","Kasımpaşa","3","1","%52,4","%59,5","%52,6","20","1","7","%47,6","%40,5","%47,4","22","1","2","333","64","%74,2","%62,9","24","%12,5","313","69","%72,8","%63,8","16","%31,3","3","16","7","3","6","10","%43,8","1","8","2","1","4","4","%25,0","11","%72,7","17","8","%87,5","29","21","5","0","26","2","0","1"
"Çaykur Rizespor","Adanaspor","2","2","%49,0","%51,4","%63,3","14","2","5","%51,0","%48,6","%36,7","13","1","3","395","54","%75,4","%59,1","25","%24,0","421","72","%77,7","%67,8","14","%42,9","2","13","4","3","5","8","%30,8","2","13","7","1","6","7","%53,8","15","%53,3","16","17","%82,4","29","16","2","0","20","1","0","0"
"Antalyaspor","Akhisarspor","0","0","%53,5","%56,2","%47,1","16","2","4","%46,5","%43,8","%52,9","14","1","4","411","64","%78,8","%64,7","24","%16,7","361","71","%75,3","%62,1","20","%0,0","0","13","4","5","4","9","%30,8","0","8","2","3","4","4","%25,0","23","%78,3","26","14","%50,0","29","23","2","0","26","3","0","0"
"Gençlerbirliği","Konyaspor","2","0","%40,4","%50,0","%55,0","22","2","3","%59,6","%50,0","%45,0","12","2","3","293","64","%67,9","%61,8","19","%26,3","458","73","%73,8","%64,0","11","%18,2","2","9","3","4","5","4","%33,3","0","8","1","4","2","6","%12,5","18","%44,4","31","23","%87,0","21","18","3","0","15","5","0","1"
"Bursaspor","Kasımpaşa","1","0","%45,0","%37,2","%35,0","22","3","4","%55,0","%62,8","%65,0","20","5","5","311","54","%68,5","%61,0","12","%58,3","377","66","%76,9","%62,3","21","%9,5","1","8","3","2","1","7","%37,5","0","15","6","1","6","9","%40,0","19","%78,9","22","24","%58,3","18","21","2","1","10","1","0","1"
"Akhisarspor","Galatasaray","1","3","%33,1","%40,4","%51,9","26","0","7","%66,9","%59,6","%48,1","15","2","9","283","54","%72,1","%62,1","19","%21,1","584","63","%84,2","%79,5","22","%22,7","1","11","6","3","5","6","%54,5","3","18","9","4","11","7","%50,0","10","%60,0","17","11","%72,7","14","18","0","0","9","1","0","2"
"Kasımpaşa","Fenerbahçe","1","5","%50,2","%46,1","%26,3","14","0","5","%49,8","%53,9","%73,7","16","3","6","382","44","%81,9","%71,1","21","%9,5","382","46","%84,0","%67,5","15","%26,7","1","10","3","4","6","4","%30,0","5","17","8","0","7","10","%47,1","22","%72,7","13","13","%76,9","17","19","2","0","17","4","0","2"
"Gençlerbirliği","Osmanlıspor FK","1","1","%48,0","%46,8","%48,0","19","0","4","%52,0","%53,2","%52,0","15","1","3","360","75","%67,5","%56,3","9","%11,1","377","70","%70,8","%60,2","26","%42,3","1","12","3","2","5","7","%25,0","1","12","5","0","3","9","%41,7","21","%71,4","24","30","%73,3","34","14","3","0","17","2","0","0"
"Kayserispor","Galatasaray","1","1","%35,9","%31,5","%46,7","17","3","4","%64,1","%68,5","%53,3","7","0","5","317","60","%74,8","%58,0","13","%38,5","571","54","%86,9","%77,7","22","%18,2","1","9","5","2","3","6","%55,6","1","13","4","1","7","6","%30,8","9","%66,7","13","18","%88,9","14","18","2","0","5","1","0","0"
"Kasımpaşa","Konyaspor","1","1","%43,9","%51,8","%43,8","14","6","10","%56,1","%48,2","%56,3","13","0","5","390","52","%82,8","%68,6","33","%21,2","531","53","%84,2","%79,0","13","%7,7","1","16","4","5","4","12","%25,0","1","13","6","3","11","2","%46,2","20","%75,0","24","15","%53,3","20","11","2","0","11","1","0","0"
"Osmanlıspor FK","Alanyaspor","2","0","%51,0","%51,8","%64,3","16","2","9","%49,0","%48,2","%35,7","22","1","7","474","60","%83,1","%69,4","17","%23,5","439","40","%86,8","%75,8","33","%21,2","2","13","4","3","5","8","%30,8","0","11","2","2","6","5","%18,2","22","%77,3","16","15","%73,3","14","23","3","0","16","3","0","1"
"Bursaspor","Galatasaray","0","5","%30,3","%44,7","%47,4","11","3","0","%69,7","%55,3","%52,6","12","3","3","306","52","%69,9","%56,6","9","%11,1","709","68","%88,9","%81,6","20","%45,0","0","3","0","1","1","2","%0,0","5","22","8","4","8","14","%36,4","25","%72,0","29","16","%62,5","19","9","2","0","10","1","0","2"
"Trabzonspor","Fenerbahçe","0","3","%42,4","%49,5","%35,3","8","1","4","%57,6","%50,5","%64,7","13","3","2","323","54","%78,9","%64,0","15","%13,3","445","62","%86,7","%77,4","13","%30,8","0","14","5","1","11","3","%35,7","3","13","4","4","5","8","%30,8","24","%62,5","12","19","%57,9","15","16","2","1","19","4","0","2"
"Beşiktaş","Bursaspor","2","1","%69,4","%58,4","%72,7","16","2","2","%30,6","%41,6","%27,3","23","4","1","745","57","%88,5","%79,6","15","%33,3","324","53","%76,5","%67,7","13","%23,1","2","16","6","3","6","10","%37,5","1","8","4","1","3","5","%50,0","16","%68,8","10","13","%53,8","21","11","3","0","15","3","1","1"
"Alanyaspor","Gençlerbirliği","3","0","%55,5","%59,2","%50,0","16","2","7","%44,5","%40,8","%50,0","20","1","5","475","68","%79,6","%71,2","30","%46,7","388","52","%74,5","%61,4","19","%26,3","3","13","5","1","2","11","%38,5","0","8","3","1","2","6","%37,5","19","%84,2","15","22","%77,3","24","8","2","0","19","1","0","1"
"Kasımpaşa","Osmanlıspor FK","3","2","%55,1","%55,5","%52,8","16","1","4","%44,9","%44,5","%47,2","17","2","6","476","54","%79,8","%71,8","18","%22,2","374","47","%77,3","%60,9","28","%25,0","3","11","7","2","1","10","%63,6","2","15","4","2","7","8","%26,7","27","%81,5","43","16","%75,0","28","9","2","0","13","2","0","1"
"Alanyaspor","Akhisarspor","0","0","%49,8","%44,4","%41,5","15","1","4","%50,2","%55,6","%58,5","12","4","6","399","112","%66,4","%54,6","15","%20,0","393","77","%64,9","%49,6","23","%17,4","0","12","1","5","8","4","%8,3","0","7","0","3","2","5","%0,0","10","%60,0","30","16","%75,0","21","19","3","0","22","2","0","0"
"Alanyaspor","Beşiktaş","1","4","%36,9","%51,2","%26,7","9","0","2","%63,1","%48,8","%73,3","7","6","12","317","40","%79,8","%67,6","13","%30,8","544","67","%86,9","%70,9","26","%23,1","1","10","4","2","4","6","%40,0","4","10","6","1","2","8","%60,0","15","%80,0","18","9","%77,8","11","14","1","0","18","4","0","2"
"Fenerbahçe","Beşiktaş","0","0","%48,1","%51,2","%47,2","10","2","4","%51,9","%48,8","%52,8","14","1","1","349","45","%75,4","%60,1","21","%23,8","382","58","%77,5","%54,8","13","%7,7","0","10","0","3","2","8","%0,0","0","2","0","1","1","1","%0,0","25","%84,0","16","21","%61,9","30","21","2","0","21","3","0","0"
"Fenerbahçe","İstanbul Başakşehir","1","0","%45,1","%56,8","%62,2","21","2","2","%54,9","%43,2","%37,8","19","0","1","366","64","%71,3","%58,6","17","%11,8","453","59","%74,4","%61,2","15","%13,3","1","7","2","1","4","3","%28,6","0","8","2","1","2","6","%25,0","24","%66,7","25","16","%87,5","23","23","7","0","18","3","0","1"
"Konyaspor","Antalyaspor","1","1","%63,5","%45,9","%33,3","14","2","7","%36,5","%54,1","%66,7","18","2","4","436","58","%76,1","%68,8","32","%28,1","255","63","%62,4","%53,6","13","%7,7","1","17","5","6","6","11","%29,4","1","7","1","3","4","3","%14,3","13","%84,6","15","22","%72,7","29","12","5","0","18","4","2","0"
"Akhisarspor","Kasımpaşa","1","0","%39,5","%54,4","%52,8","15","2","0","%60,5","%45,6","%47,2","16","2","3","337","61","%74,2","%64,8","10","%30,0","506","73","%84,0","%72,8","30","%6,7","1","12","3","3","7","5","%25,0","0","14","3","4","8","6","%21,4","18","%44,4","37","8","%62,5","7","14","3","0","21","5","0","1"
"Alanyaspor","İstanbul Başakşehir","0","5","%51,1","%56,3","%38,9","16","0","1","%48,9","%43,7","%61,1","22","1","4","412","68","%78,4","%68,8","14","%28,6","390","67","%77,9","%65,5","16","%31,3","0","14","3","2","8","6","%21,4","5","12","6","2","1","11","%50,0","19","%73,7","12","8","%75,0","9","17","1","0","16","1","0","2"
"İstanbul Başakşehir","Osmanlıspor FK","2","2","%58,1","%51,7","%51,9","18","0","10","%41,9","%48,3","%48,1","14","0","4","379","61","%77,3","%64,6","31","%25,8","281","61","%69,0","%60,8","16","%18,8","2","20","4","8","11","9","%20,0","2","11","3","6","7","4","%27,3","19","%89,5","6","16","%75,0","34","21","4","0","21","3","0","0"
"Karabükspor","Alanyaspor","0","2","%59,5","%50,0","%65,2","9","3","8","%40,5","%50,0","%34,8","26","2","4","456","55","%75,2","%62,3","30","%26,7","321","74","%67,9","%55,1","12","%16,7","0","12","2","5","4","8","%16,7","2","8","5","1","1","7","%62,5","23","%87,0","14","25","%64,0","39","20","2","0","19","3","0","2"
"Gaziantepspor","Kayserispor","1","2","%56,4","%50,0","%52,8","14","1","6","%43,6","%50,0","%47,2","18","2","4","338","84","%69,2","%59,3","22","%27,3","260","65","%64,2","%55,6","17","%23,5","1","13","6","2","7","6","%46,2","2","7","2","0","1","6","%28,6","19","%89,5","11","22","%86,4","41","14","1","0","18","1","0","2"
"Beşiktaş","Galatasaray","2","2","%56,0","%49,1","%45,5","14","2","8","%44,0","%50,9","%54,5","19","0","8","444","69","%81,1","%65,7","29","%34,5","356","53","%74,7","%61,9","15","%33,3","2","17","7","4","5","12","%41,2","2","15","7","5","5","10","%46,7","16","%62,5","13","20","%65,0","31","18","2","0","14","3","0","0"
"Bursaspor","Adanaspor","0","1","%58,9","%57,5","%64,7","9","2","3","%41,1","%42,5","%35,3","21","0","1","486","57","%75,5","%63,3","21","%9,5","348","74","%66,4","%56,1","7","%14,3","0","9","1","4","3","6","%11,1","1","8","3","3","4","4","%37,5","22","%63,6","14","18","%77,8","30","19","3","0","30","3","0","2"
"İstanbul Başakşehir","Karabükspor","3","3","%55,7","%51,4","%51,7","10","4","5","%44,3","%48,6","%48,3","14","0","3","516","62","%77,9","%65,5","27","%33,3","414","67","%75,4","%62,5","15","%40,0","3","14","8","2","4","10","%57,1","3","11","5","3","1","10","%45,5","20","%70,0","15","14","%78,6","28","12","1","0","16","5","0","0"
"Gaziantepspor","Trabzonspor","1","0","%47,0","%48,4","%43,9","26","3","3","%53,0","%51,6","%56,1","20","2","6","299","69","%60,2","%47,0","14","%0,0","331","73","%66,5","%52,5","21","%28,6","1","10","2","3","9","1","%20,0","0","10","3","2","0","10","%30,0","18","%66,7","21","20","%70,0","36","16","2","1","19","2","0","1"
"Gaziantepspor","Karabükspor","0","0","%51,5","%56,4","%52,2","15","2","4","%48,5","%43,6","%47,8","21","1","3","377","85","%66,0","%54,9","24","%16,7","362","77","%71,3","%59,8","16","%31,3","0","10","2","0","3","7","%20,0","0","15","2","3","8","7","%13,3","11","%90,9","18","10","%60,0","30","14","3","0","19","5","0","0"
"Çaykur Rizespor","Antalyaspor","1","2","%49,4","%57,7","%57,1","16","1","3","%50,6","%42,3","%42,9","12","2","4","390","65","%78,2","%67,3","28","%35,7","420","63","%81,4","%71,9","15","%26,7","1","12","5","1","6","6","%41,7","2","16","7","3","4","12","%43,8","24","%62,5","12","21","%71,4","35","14","1","1","18","1","0","2"
"Alanyaspor","Bursaspor","0","2","%59,0","%53,1","%71,4","26","2","8","%41,0","%46,9","%28,6","21","0","4","501","51","%84,2","%72,3","29","%24,1","349","54","%75,6","%61,4","15","%20,0","0","19","6","2","11","8","%31,6","2","13","5","1","6","7","%38,5","28","%67,9","18","30","%60,0","21","10","0","0","15","0","0","2"
"Kayserispor","Trabzonspor","0","1","%59,5","%40,4","%28,6","16","1","6","%40,5","%59,6","%71,4","15","1","3","456","61","%79,2","%65,7","23","%8,7","318","53","%72,3","%61,3","12","%25,0","0","11","2","4","7","4","%18,2","1","13","4","3","3","10","%30,8","14","%78,6","11","19","%73,7","38","16","2","0","14","3","0","2"
"Konyaspor","Akhisarspor","0","3","%62,0","%58,3","%56,5","9","3","2","%38,0","%41,7","%43,5","25","2","3","656","65","%87,8","%80,5","11","%27,3","394","63","%81,5","%64,4","15","%26,7","0","10","3","2","6","4","%30,0","3","15","4","3","5","10","%26,7","17","%70,6","11","8","%50,0","8","10","1","0","13","1","0","2"
"Bursaspor","Osmanlıspor FK","0","0","%43,0","%47,9","%51,6","13","1","3","%57,0","%52,1","%48,4","14","2","4","305","64","%71,5","%61,2","23","%13,0","419","58","%79,2","%69,3","18","%22,2","0","14","2","5","10","4","%14,3","0","25","9","5","15","10","%36,0","16","%68,8","24","13","%76,9","18","19","4","0","21","3","0","0"
"İstanbul Başakşehir","Çaykur Rizespor","2","1","%64,7","%47,7","%40,7","12","1","11","%35,3","%52,3","%59,3","26","1","3","519","70","%79,0","%67,1","33","%15,2","289","74","%64,7","%51,8","13","%7,7","2","14","4","3","7","7","%28,6","1","13","4","1","10","3","%30,8","15","%80,0","15","24","%70,8","42","13","0","0","16","1","0","1"
"Osmanlıspor FK","Akhisarspor","0","4","%61,5","%57,4","%44,4","10","1","11","%38,5","%42,6","%55,6","27","3","4","459","34","%81,5","%69,7","33","%21,2","288","50","%73,3","%53,8","17","%11,8","0","14","4","2","6","8","%28,6","4","4","3","1","1","3","%75,0","18","%55,6","16","17","%82,4","36","13","2","0","16","2","0","2"
"Fenerbahçe","Akhisarspor","3","1","%56,1","%50,0","%53,3","11","4","9","%43,9","%50,0","%46,7","12","3","7","470","63","%77,4","%68,2","21","%23,8","363","67","%73,3","%52,5","23","%26,1","3","9","4","2","2","7","%44,4","1","18","5","7","8","10","%27,8","10","%80,0","18","11","%72,7","20","13","3","0","13","1","0","1"
"Alanyaspor","Galatasaray","2","3","%47,4","%50,9","%80,0","11","1","5","%52,6","%49,1","%20,0","10","1","5","428","59","%83,9","%69,4","33","%9,1","496","56","%83,7","%74,6","9","%0,0","2","15","5","2","6","9","%33,3","3","12","5","2","5","7","%41,7","17","%70,6","11","17","%82,4","32","18","4","0","16","5","0","2"
"Alanyaspor","Kayserispor","3","0","%44,1","%50,8","%66,7","11","1","3","%55,9","%49,2","%33,3","10","4","6","276","54","%72,1","%61,5","17","%23,5","344","51","%77,0","%62,1","28","%10,7","3","13","4","3","6","7","%30,8","0","9","2","2","2","7","%22,2","11","%81,8","23","21","%76,2","17","18","3","0","21","4","1","1"
"Fenerbahçe","Karabükspor","5","0","%49,1","%57,0","%66,7","15","4","3","%50,9","%43,0","%33,3","21","1","3","442","50","%81,0","%70,9","16","%43,8","458","55","%81,9","%66,2","13","%46,2","5","14","11","1","5","9","%78,6","0","12","3","4","7","5","%25,0","24","%70,8","10","14","%85,7","11","20","0","0","12","2","1","1"
"Galatasaray","Antalyaspor","3","1","%66,2","%52,7","%58,6","16","2","7","%33,8","%47,3","%41,4","28","4","2","612","44","%87,4","%77,2","28","%25,0","311","63","%73,3","%56,0","12","%16,7","3","20","5","3","8","12","%25,0","1","6","3","1","3","3","%50,0","17","%70,6","16","29","%79,3","31","14","1","0","9","1","0","1"
"Konyaspor","Osmanlıspor FK","1","1","%52,9","%47,7","%47,6","11","3","3","%47,1","%52,3","%52,4","18","2","3","478","63","%79,3","%70,3","16","%12,5","426","73","%78,6","%71,8","14","%35,7","1","10","2","6","7","3","%20,0","1","14","6","3","7","7","%42,9","22","%81,8","14","20","%70,0","23","15","1","0","19","2","1","0"
"Bursaspor","Beşiktaş","0","2","%40,2","%47,9","%47,6","12","3","1","%59,8","%52,1","%52,4","11","1","10","317","77","%68,8","%52,9","8","%12,5","459","59","%78,9","%64,6","21","%14,3","0","5","3","1","3","2","%60,0","2","19","6","5","9","10","%31,6","22","%59,1","39","17","%64,7","15","11","5","0","17","2","0","2"
"Karabükspor","Trabzonspor","4","0","%50,4","%51,1","%53,3","22","6","3","%49,6","%48,9","%46,7","30","1","3","338","69","%68,3","%51,7","18","%16,7","329","66","%67,8","%51,6","20","%5,0","4","10","6","2","3","7","%60,0","0","7","2","1","2","5","%28,6","23","%78,3","31","25","%64,0","21","17","0","0","18","2","0","1"
"Kasımpaşa","Akhisarspor","0","2","%60,0","%55,6","%53,3","15","1","10","%40,0","%44,4","%46,7","14","2","7","486","50","%84,0","%75,9","28","%17,9","318","57","%75,8","%60,5","24","%8,3","0","10","4","2","7","3","%40,0","2","13","7","2","9","4","%53,8","12","%83,3","21","19","%68,4","24","12","1","0","19","2","0","2"
